customer_id,outstanding_amount,current_utilization,min_due,payment_day,days_to_payment,existing_emi_count,past_emi_conversions,emi_eligible,max_emi_tenure
C10129,2019,1.6,100,10,17,1,0,false,3
C10130,0,0.0,0,5,12,1,1,false,3
C10131,0,0.0,0,5,12,0,0,false,3
C10132,6682,3.6,334,10,17,0,0,false,3
C10133,4946,0.6,247,1,8,1,1,false,3
C10134,931,0.3,46,15,22,0,1,false,3
C10135,10820,8.7,541,10,17,0,3,true,3
C10136,3852,2.9,192,10,17,0,0,false,3
C10137,18923,3.8,946,5,12,0,1,false,9
C10138,0,0.0,0,10,17,0,1,false,3
C10139,0,0.0,0,10,17,0,2,false,3
C10140,2496,8.3,124,5,12,0,1,false,3
C10141,3506,0.6,175,15,22,0,0,false,3
C10142,16334,9.9,816,1,8,1,1,true,9
C10143,0,0.0,0,5,12,0,2,false,3
C10144,0,0.0,0,20,27,3,0,false,3
C10145,0,0.0,0,1,8,3,0,false,3
C10146,0,0.0,0,1,8,2,0,false,3
C10147,158116,87.8,7905,1,8,3,0,true,12
C10148,28984,72.5,1449,10,17,0,0,true,9
C10149,3927,1.1,196,15,22,0,0,false,3
C10150,9942,5.7,497,15,22,0,1,false,3
C10151,33250,95.0,1662,15,22,1,1,true,12
C10152,54529,83.9,2726,5,12,0,2,true,12
C10153,13218,26.4,660,10,17,1,3,true,6
C10154,0,0.0,0,15,22,0,0,false,3
C10155,58770,6.3,2938,1,8,2,1,true,12
C10156,0,0.0,0,10,17,0,1,false,3
C10157,0,0.0,0,1,8,0,0,false,3
C10158,0,0.0,0,15,22,0,0,false,3
C10159,0,0.0,0,15,22,0,0,false,3
C10160,15781,52.6,789,5,12,0,0,true,3
C10161,70596,8.8,3529,5,12,2,2,true,12
C10162,2340,1.0,117,5,12,1,1,false,3
C10163,4446,0.5,222,1,8,3,2,false,3
C10164,79043,28.2,3952,5,12,0,0,true,12
C10165,0,0.0,0,1,8,0,0,false,3
C10166,0,0.0,0,5,12,1,0,false,3
C10167,20916,7.1,1045,10,17,0,1,true,9
C10168,0,0.0,0,5,12,0,0,false,3
C10169,9681,1.0,484,10,17,0,3,false,3
C10170,0,0.0,0,5,12,0,0,false,3
C10171,15352,5.7,767,20,27,2,3,true,3
C10172,43222,50.8,2161,5,12,1,1,true,6
C10173,360,0.3,18,1,8,0,1,false,3
C10174,17089,7.1,854,5,12,3,1,true,3
C10175,0,0.0,0,5,12,0,1,false,3
C10176,0,0.0,0,20,27,0,1,false,3
C10177,0,0.0,0,5,12,0,3,false,3
C10178,4262,2.7,213,1,8,0,0,false,3
C10179,28500,95.0,1425,20,27,0,0,true,9
C10180,1867,3.1,93,10,17,0,0,false,3
C10181,1974,1.5,98,15,22,2,0,false,3
C10182,4770,1.8,238,20,27,0,0,false,3
C10183,0,0.0,0,20,27,1,0,false,3
C10184,0,0.0,0,20,27,1,2,false,3
C10185,2624,6.6,131,5,12,1,0,false,3
C10186,0,0.0,0,1,8,0,3,false,3
C10187,0,0.0,0,10,17,1,0,false,3
C10188,0,0.0,0,15,22,1,0,false,3
C10189,0,0.0,0,10,17,0,0,false,3
C10190,0,0.0,0,10,17,0,2,false,3
C10191,0,0.0,0,1,8,1,0,false,3
C10192,6496,14.4,324,10,17,1,1,false,3
C10193,1389,0.9,69,15,22,0,1,false,3
C10194,21167,5.3,1058,1,8,0,2,true,6
C10195,49039,31.6,2451,10,17,1,1,true,12
C10196,0,0.0,0,1,8,2,0,false,3
C10197,10538,3.2,526,1,8,1,0,true,6
C10198,60516,80.7,3025,10,17,1,2,true,12
C10199,133580,35.6,6679,10,17,0,0,true,12
C10200,14555,22.4,727,1,8,0,0,true,6
C10201,0,0.0,0,20,27,0,0,false,3
C10202,738,1.1,36,20,27,3,1,false,3
C10203,0,0.0,0,5,12,0,0,false,3
C10204,0,0.0,0,1,8,0,1,false,3
C10205,0,0.0,0,1,8,0,0,false,3
C10206,225244,83.4,11262,15,22,0,1,true,12
C10207,0,0.0,0,5,12,0,1,false,3
C10208,0,0.0,0,1,8,0,3,false,3
C10209,4205,0.4,210,1,8,1,0,false,3
C10210,27107,77.4,1355,15,22,1,3,true,12
C10211,0,0.0,0,5,12,2,1,false,3
C10212,0,0.0,0,5,12,1,1,false,3
C10213,0,0.0,0,5,12,1,1,false,3
C10214,3884,3.9,194,10,17,0,3,false,3
C10215,22925,5.2,1146,15,22,0,0,true,9
C10216,71341,23.8,3567,5,12,0,0,true,12
C10217,31754,15.5,1587,5,12,1,3,true,9
C10218,0,0.0,0,10,17,0,0,false,3
C10219,50552,5.6,2527,15,22,0,1,true,9
C10220,1080,1.8,54,10,17,1,0,false,3
C10221,0,0.0,0,10,17,0,1,false,3
C10222,245,0.2,12,1,8,0,2,false,3
C10223,158398,81.2,7919,1,8,0,0,true,12
C10224,3758,5.8,187,5,12,1,1,false,3
C10225,33250,95.0,1662,5,12,0,1,true,6
C10226,38086,19.5,1904,1,8,1,0,true,6
C10227,34834,41.0,1741,1,8,0,0,true,6
C10228,0,0.0,0,15,22,1,0,false,3
C10229,13012,2.2,650,1,8,0,0,true,3
C10230,0,0.0,0,15,22,2,1,false,3
C10231,11725,23.4,586,10,17,0,2,true,3
C10232,76646,80.7,3832,1,8,1,1,false,9
C10233,0,0.0,0,1,8,0,0,false,3
C10234,0,0.0,0,5,12,0,3,false,3
C10235,2522,0.3,126,5,12,0,3,false,3
C10236,0,0.0,0,5,12,0,0,false,3
C10237,42560,70.9,2128,1,8,0,0,true,6
C10238,36151,20.1,1807,5,12,0,1,true,9
C10239,0,0.0,0,1,8,0,2,false,3
C10240,0,0.0,0,1,8,1,0,false,3
C10241,57000,95.0,2850,20,27,0,0,true,9
C10242,0,0.0,0,1,8,2,2,false,3
C10243,0,0.0,0,1,8,0,2,false,3
C10244,0,0.0,0,15,22,0,3,false,3
C10245,22378,37.3,1118,10,17,1,2,true,6
C10246,39744,26.5,1987,20,27,0,0,true,9
C10247,29917,10.3,1495,1,8,1,2,true,6
C10248,0,0.0,0,10,17,0,1,false,3
C10249,0,0.0,0,1,8,2,1,false,3
C10250,0,0.0,0,1,8,2,0,false,3
C10251,0,0.0,0,10,17,0,0,false,3
C10252,3289,0.8,164,15,22,0,0,false,3
C10253,18182,7.9,909,5,12,0,0,true,9
C10254,0,0.0,0,5,12,0,0,false,3
C10255,18995,3.9,949,15,22,0,0,true,3
C10256,230,0.1,11,1,8,1,1,false,3
C10257,183536,83.4,9176,10,17,0,3,true,12
C10258,87540,50.0,4377,1,8,0,2,true,9
C10259,106904,61.1,5345,15,22,0,0,true,12
C10260,0,0.0,0,10,17,0,2,false,3
C10261,808,1.6,40,1,8,0,2,false,3
C10262,11828,4.5,591,15,22,0,1,true,3
C10263,13902,14.6,695,15,22,0,2,true,6
C10264,0,0.0,0,15,22,1,1,false,3
C10265,0,0.0,0,1,8,0,0,false,3
C10266,0,0.0,0,5,12,2,1,false,3
C10267,9576,23.9,478,15,22,1,3,false,3
C10268,0,0.0,0,10,17,0,0,false,3
C10269,38000,95.0,1900,5,12,0,0,true,6
C10270,98914,39.6,4945,15,22,0,1,true,12
C10271,36916,10.0,1845,5,12,1,0,true,6
C10272,226827,92.6,11341,10,17,0,0,true,12
C10273,80750,95.0,4037,15,22,0,1,true,9
C10274,118,0.2,5,10,17,3,2,false,3
C10275,32359,9.1,1617,15,22,0,0,true,9
C10276,0,0.0,0,15,22,0,2,false,3
C10277,16587,7.5,829,10,17,1,0,true,9
C10278,0,0.0,0,5,12,0,0,false,3
C10279,12431,14.6,621,1,8,0,0,true,6
C10280,0,0.0,0,5,12,0,3,false,3
C10281,2981,1.9,149,10,17,2,1,false,3
C10282,0,0.0,0,15,22,0,0,false,3
C10283,0,0.0,0,1,8,0,0,false,3
C10284,2784,1.0,139,1,8,0,2,false,3
C10285,0,0.0,0,1,8,0,3,false,3
C10286,3132,0.5,156,1,8,3,0,false,3
C10287,0,0.0,0,20,27,0,0,false,3
C10288,0,0.0,0,20,27,0,0,false,3
C10289,10245,15.8,512,1,8,0,0,true,6
C10290,7412,2.7,370,10,17,0,1,false,3
C10291,0,0.0,0,5,12,0,3,false,3
C10292,0,0.0,0,10,17,2,2,false,3
C10293,19293,11.7,964,5,12,0,3,true,6
C10294,20436,12.0,1021,15,22,0,1,true,6
C10295,0,0.0,0,15,22,2,3,false,3
C10296,0,0.0,0,1,8,0,2,false,3
C10297,30451,55.4,1522,1,8,0,3,true,9
C10298,22776,4.6,1138,10,17,1,1,true,6
C10299,0,0.0,0,10,17,0,0,false,3
C10300,0,0.0,0,5,12,1,0,false,3
C10301,18266,18.3,913,15,22,0,1,true,6
C10302,0,0.0,0,5,12,0,0,false,3
C10303,19940,4.4,997,1,8,2,3,true,3
C10304,0,0.0,0,5,12,1,0,false,3
C10305,2944,1.4,147,10,17,0,3,false,3
C10306,151639,94.8,7581,5,12,1,1,true,12
C10307,38000,95.0,1900,5,12,1,0,true,9
C10308,75297,9.1,3764,20,27,0,1,true,9
C10309,24058,8.9,1202,20,27,1,3,true,3
C10310,71250,95.0,3562,20,27,0,0,true,12
C10311,184731,72.4,9236,20,27,0,2,true,12
C10312,0,0.0,0,15,22,0,3,false,3
C10313,89,0.2,4,15,22,0,3,false,3
C10314,0,0.0,0,10,17,0,0,false,3
C10315,15232,2.5,761,1,8,1,2,true,6
C10316,0,0.0,0,1,8,0,2,false,3
C10317,0,0.0,0,10,17,0,0,false,3
C10318,104500,95.0,5225,5,12,0,2,true,12
C10319,118750,95.0,5937,5,12,0,1,true,12
C10320,0,0.0,0,10,17,3,0,false,3
C10321,0,0.0,0,1,8,0,1,false,3
C10322,0,0.0,0,5,12,0,2,false,3
C10323,0,0.0,0,15,22,0,0,false,3
C10324,38000,95.0,1900,15,22,0,2,true,6
C10325,0,0.0,0,5,12,2,1,false,3
C10326,15416,9.1,770,5,12,1,2,true,6
C10327,32937,12.0,1646,20,27,0,1,true,6
C10328,0,0.0,0,10,17,0,1,false,3
C10329,0,0.0,0,15,22,1,0,false,3
C10330,0,0.0,0,1,8,1,2,false,3
C10331,4456,4.7,222,1,8,3,2,false,3
C10332,0,0.0,0,1,8,1,0,false,3
C10333,14743,15.5,737,5,12,0,3,true,6
C10334,0,0.0,0,1,8,0,0,false,3
C10335,9976,11.7,498,1,8,0,1,false,3
C10336,0,0.0,0,5,12,0,0,false,3
C10337,0,0.0,0,15,22,1,1,false,3
C10338,0,0.0,0,15,22,0,1,false,3
C10339,43665,25.7,2183,20,27,3,1,true,9
C10340,0,0.0,0,1,8,3,1,false,3
C10341,5697,3.8,284,20,27,0,0,false,3
C10342,71536,26.5,3576,1,8,0,0,true,9
C10343,1077,0.3,53,20,27,0,2,false,3
C10344,60055,85.8,3002,10,17,1,3,true,12
C10345,6816,11.4,340,10,17,0,1,false,3
C10346,0,0.0,0,15,22,0,0,false,3
C10347,0,0.0,0,5,12,0,0,false,3
C10348,0,0.0,0,15,22,0,0,false,3
C10349,145,0.0,7,5,12,0,0,false,3
C10350,77326,35.1,3866,10,17,0,2,true,12
C10351,255,0.1,12,15,22,3,0,false,3
C10352,61260,72.1,3063,15,22,0,0,false,12
C10353,22121,3.3,1106,1,8,1,0,true,6
C10354,133000,95.0,6650,1,8,0,3,true,12
C10355,0,0.0,0,10,17,0,0,false,3
C10356,59385,74.2,2969,5,12,2,1,true,9
C10357,260620,36.7,13031,10,17,0,3,true,12
C10358,2318,3.3,115,1,8,0,0,false,3
C10359,0,0.0,0,1,8,0,3,false,3
C10360,1337,0.7,66,5,12,0,1,false,3
C10361,85110,40.5,4255,15,22,0,1,true,12
C10362,0,0.0,0,5,12,1,0,false,3
C10363,0,0.0,0,1,8,0,2,false,3
C10364,0,0.0,0,15,22,0,0,false,3
C10365,0,0.0,0,5,12,0,0,false,3
C10366,26754,76.4,1337,15,22,1,2,true,12
C10367,6784,7.5,339,1,8,1,3,false,3
C10368,7755,25.9,387,1,8,1,1,false,3
C10369,265876,60.4,13293,1,8,1,3,true,12
C10370,0,0.0,0,5,12,0,3,false,3
C10371,0,0.0,0,1,8,1,3,false,3
C10372,21091,7.1,1054,5,12,0,1,true,3
C10373,167300,18.3,8365,15,22,1,0,true,12
C10374,0,0.0,0,5,12,0,3,false,3
C10375,0,0.0,0,15,22,1,2,false,3
C10376,0,0.0,0,20,27,3,1,false,3
C10377,0,0.0,0,20,27,2,2,false,3
C10378,1003,2.0,50,20,27,0,1,false,3
C10379,12212,6.0,610,10,17,3,0,true,3
C10380,173189,53.3,8659,15,22,1,2,true,12
C10381,0,0.0,0,10,17,0,0,false,3
C10382,48088,18.9,2404,1,8,0,0,true,12
C10383,54222,23.1,2711,1,8,0,0,true,9
C10384,113102,53.9,5655,10,17,0,0,true,12
C10385,22548,26.5,1127,10,17,0,0,true,3
C10386,20761,46.1,1038,1,8,2,0,true,3
C10387,0,0.0,0,20,27,0,1,false,3
C10388,111725,57.3,5586,10,17,0,1,true,12
C10389,32778,81.9,1638,15,22,1,2,true,12
C10390,0,0.0,0,15,22,0,0,false,3
C10391,204403,90.8,10220,20,27,2,0,true,12
C10392,90248,11.6,4512,1,8,1,1,true,9
C10393,406,0.5,20,15,22,0,0,false,3
C10394,26992,54.0,1349,1,8,0,2,true,9
C10395,0,0.0,0,10,17,0,0,false,3
C10396,149833,61.2,7491,1,8,0,0,true,12
C10397,74100,8.3,3705,5,12,0,3,true,9
C10398,14292,40.8,714,20,27,0,0,true,3
C10399,0,0.0,0,20,27,0,1,false,3
C10400,4288,0.5,214,20,27,0,2,false,3
C10401,4159,2.5,207,5,12,0,0,false,3
C10402,80750,95.0,4037,1,8,0,1,true,12
C10403,0,0.0,0,1,8,0,0,false,3
C10404,0,0.0,0,20,27,0,1,false,3
C10405,0,0.0,0,20,27,0,1,false,3
C10406,23750,95.0,1187,15,22,1,3,true,3
C10407,18800,2.0,940,15,22,2,0,true,6
C10408,4756,8.6,237,5,12,2,3,false,3
C10409,14200,21.8,710,20,27,0,3,true,3
C10410,7718,5.0,385,10,17,0,0,false,3
C10411,57605,24.0,2880,5,12,1,0,true,9
C10412,52945,9.3,2647,1,8,1,2,true,12
C10413,0,0.0,0,1,8,0,0,false,3
C10414,0,0.0,0,20,27,0,2,false,3
C10415,84,0.0,4,20,27,1,1,false,3
C10416,0,0.0,0,5,12,0,0,false,3
C10417,0,0.0,0,15,22,0,0,false,3
C10418,38000,95.0,1900,10,17,0,0,true,12
C10419,0,0.0,0,1,8,0,2,false,3
C10420,2443,0.9,122,5,12,0,2,false,3
C10421,0,0.0,0,10,17,0,0,false,3
C10422,20702,46.0,1035,20,27,0,0,true,3
C10423,0,0.0,0,10,17,0,1,false,3
C10424,0,0.0,0,10,17,0,0,false,3
C10425,0,0.0,0,10,17,1,2,false,3
C10426,0,0.0,0,15,22,0,0,false,3
C10427,0,0.0,0,20,27,2,0,false,3
C10428,0,0.0,0,20,27,0,0,false,3
C10429,0,0.0,0,20,27,1,0,false,3
C10430,0,0.0,0,1,8,1,1,false,3
C10431,23391,9.7,1169,10,17,0,1,true,3
C10432,38444,13.3,1922,1,8,0,1,true,6
C10433,47839,35.4,2391,20,27,0,0,true,9
C10434,0,0.0,0,1,8,0,1,false,3
C10435,26047,9.6,1302,5,12,1,0,true,6
C10436,2109,0.2,105,1,8,0,0,false,3
C10437,0,0.0,0,15,22,0,0,false,3
C10438,11151,1.8,557,15,22,0,0,true,9
C10439,256673,93.3,12833,5,12,2,2,true,12
C10440,0,0.0,0,10,17,0,1,false,3
C10441,14986,59.9,749,15,22,0,2,true,6
C10442,86242,90.8,4312,15,22,3,0,true,9
C10443,1776,1.8,88,1,8,0,3,false,3
C10444,2811,1.2,140,1,8,0,2,false,3
C10445,0,0.0,0,1,8,0,1,false,3
C10446,6951,1.0,347,1,8,1,0,false,3
C10447,13630,7.0,681,5,12,3,0,true,3
C10448,23750,95.0,1187,1,8,0,2,true,9
C10449,4525,1.8,226,10,17,1,1,false,3
C10450,0,0.0,0,20,27,0,3,false,3
C10451,0,0.0,0,15,22,1,1,false,3
C10452,18316,10.2,915,5,12,1,1,true,6
C10453,34667,5.2,1733,1,8,2,0,false,9
C10454,0,0.0,0,1,8,1,0,false,3
C10455,47500,95.0,2375,10,17,0,3,true,9
C10456,0,0.0,0,20,27,0,3,false,3
C10457,52554,24.4,2627,1,8,0,0,true,9
C10458,21282,4.7,1064,1,8,1,2,true,6
C10459,3895,1.5,194,1,8,0,1,false,3
C10460,154,0.2,7,10,17,0,0,false,3
C10461,11419,12.7,570,5,12,1,3,true,3
C10462,302861,73.0,15143,20,27,0,0,true,12
C10463,14754,6.1,737,15,22,1,0,true,9
C10464,0,0.0,0,5,12,0,1,false,3
C10465,14298,23.8,714,15,22,0,3,true,6
C10466,80777,29.9,4038,1,8,1,2,true,12
C10467,4611,1.8,230,1,8,0,1,false,3
C10468,3215,2.6,160,5,12,3,3,false,3
C10469,0,0.0,0,15,22,2,3,false,3
C10470,2599,0.9,129,20,27,1,0,false,3
C10471,0,0.0,0,10,17,0,1,false,3
C10472,0,0.0,0,10,17,1,0,false,3
C10473,32401,15.8,1620,20,27,0,0,true,9
C10474,2995,1.4,149,1,8,0,0,false,3
C10475,61164,87.4,3058,20,27,0,0,true,9
C10476,99750,95.0,4987,10,17,1,1,true,12
C10477,22453,15.5,1122,5,12,0,1,true,6
C10478,0,0.0,0,1,8,0,0,false,3
C10479,0,0.0,0,5,12,0,0,false,3
C10480,0,0.0,0,5,12,0,2,false,3
C10481,0,0.0,0,1,8,0,2,false,3
C10482,52250,95.0,2612,1,8,0,0,true,9
C10483,0,0.0,0,1,8,1,1,false,3
C10484,3662,9.2,183,10,17,0,0,false,3
C10485,0,0.0,0,20,27,0,1,false,3
C10486,63644,70.7,3182,1,8,0,1,true,12
C10487,14183,9.5,709,5,12,2,0,true,3
C10488,45432,64.9,2271,1,8,0,0,true,9
C10489,4572,0.5,228,1,8,1,0,false,3
C10490,0,0.0,0,10,17,0,3,false,3
C10491,0,0.0,0,5,12,0,0,false,3
C10492,3995,1.8,199,1,8,1,2,false,3
C10493,0,0.0,0,15,22,0,2,false,3
C10494,0,0.0,0,1,8,0,1,false,3
C10495,0,0.0,0,5,12,0,2,false,3
C10496,47965,87.2,2398,1,8,0,0,true,12
C10497,3505,4.1,175,1,8,0,0,false,3
C10498,298677,61.6,14933,1,8,1,0,true,12
C10499,48652,88.5,2432,1,8,0,0,true,9
C10500,19810,23.3,990,15,22,1,1,true,6
C10501,609,1.1,30,5,12,0,0,false,3
C10502,0,0.0,0,5,12,2,1,false,3
C10503,0,0.0,0,1,8,1,0,false,3
C10504,113199,49.2,5659,5,12,2,1,true,12
C10505,0,0.0,0,1,8,1,1,false,3
C10506,53413,89.0,2670,5,12,0,1,true,12
C10507,0,0.0,0,1,8,0,0,false,3
C10508,0,0.0,0,5,12,0,0,false,3
C10509,210063,60.0,10503,1,8,0,0,true,12
C10510,0,0.0,0,5,12,0,0,false,3
C10511,0,0.0,0,1,8,0,1,false,3
C10512,20209,26.9,1010,15,22,0,3,true,3
C10513,37152,61.9,1857,1,8,1,1,true,9
C10514,0,0.0,0,10,17,2,0,false,3
C10515,0,0.0,0,1,8,2,0,false,3
C10516,0,0.0,0,1,8,0,0,false,3
C10517,0,0.0,0,1,8,0,0,false,3
C10518,0,0.0,0,20,27,1,0,false,3
C10519,123169,22.2,6158,15,22,0,3,true,12
C10520,33250,95.0,1662,20,27,0,0,true,12
C10521,17535,11.0,876,1,8,1,1,true,3
C10522,20982,9.8,1049,15,22,0,3,true,6
C10523,0,0.0,0,10,17,0,1,false,3
C10524,52250,95.0,2612,20,27,2,2,true,9
C10525,0,0.0,0,1,8,0,2,false,3
C10526,3326,6.7,166,20,27,0,0,false,3
C10527,0,0.0,0,20,27,2,3,false,3
C10528,76498,80.5,3824,1,8,0,0,true,12
C10529,80750,95.0,4037,5,12,1,0,true,12
C10530,16012,53.4,800,5,12,0,3,true,3
C10531,0,0.0,0,5,12,0,0,false,3
C10532,0,0.0,0,10,17,1,3,false,3
C10533,0,0.0,0,20,27,0,0,false,3
C10534,142500,95.0,7125,15,22,0,0,true,12
C10535,0,0.0,0,5,12,1,0,false,3
C10536,0,0.0,0,1,8,0,1,false,3
C10537,151805,92.0,7590,10,17,0,0,true,12
C10538,0,0.0,0,5,12,1,1,false,3
C10539,0,0.0,0,1,8,0,1,false,3
C10540,0,0.0,0,15,22,0,0,false,3
C10541,75646,94.6,3782,5,12,1,2,true,9
C10542,1390,2.0,69,10,17,1,2,false,3
C10543,0,0.0,0,5,12,1,3,false,3
C10544,0,0.0,0,10,17,0,1,false,3
C10545,1021,0.2,51,20,27,0,1,false,3
C10546,40363,23.7,2018,1,8,0,3,true,12
C10547,0,0.0,0,5,12,0,0,false,3
C10548,2768,0.8,138,1,8,0,2,false,3
C10549,166640,83.3,8332,1,8,0,1,true,12
C10550,61750,95.0,3087,10,17,0,0,true,12
C10551,0,0.0,0,5,12,0,1,false,3
C10552,3526,0.4,176,5,12,0,1,false,3
C10553,1333,0.5,66,1,8,0,0,false,3
C10554,23741,25.0,1187,5,12,0,2,true,6
C10555,0,0.0,0,5,12,0,1,false,3
C10556,5230,14.9,261,1,8,0,1,false,3
C10557,28707,2.9,1435,5,12,0,0,true,12
