customer_id,dnc_source,dnc_date
C14333,Customer Request,2025-05-19
C14396,TRAI,2026-03-11
C14414,Internal,2025-05-31
C14434,Internal,2025-10-13
C14438,TRAI,2025-07-11
C14439,TRAI,2025-09-23
C14466,Internal,2025-04-21
C14471,Internal,2025-10-24
C14483,Internal,2025-04-13
C14490,Internal,2025-12-08
C14505,TRAI,2025-06-23
C14510,TRAI,2026-02-13
C14515,Customer Request,2025-04-10
C14553,Internal,2025-03-31
C14569,TRAI,2026-03-01
C14584,Customer Request,2025-10-14
C14592,Internal,2025-08-12
C14602,Customer Request,2025-08-28
C14603,TRAI,2025-05-20
C14617,TRAI,2025-09-20
C14620,TRAI,2025-03-28
C14632,Customer Request,2025-04-05
C14637,Internal,2025-06-28
C14642,Internal,2025-12-17
C14648,TRAI,2025-10-15
C14663,TRAI,2025-07-16
C14680,TRAI,2025-11-02
C14695,TRAI,2025-03-31
C14700,Internal,2025-04-13
C14703,TRAI,2025-11-21
C14712,Internal,2025-11-20
C14715,Internal,2025-08-11
C14736,Internal,2025-09-05
C14739,Internal,2025-05-19
C14743,Internal,2025-07-20
C14761,TRAI,2025-07-17
C14765,TRAI,2025-04-24
C14767,TRAI,2025-07-16
C14770,TRAI,2025-07-01
C14791,TRAI,2025-03-31
C14799,Customer Request,2025-06-16
C14807,Internal,2025-08-15
C14820,TRAI,2025-12-27
C14868,TRAI,2025-12-02
C14882,Internal,2025-08-17
C14894,Customer Request,2025-12-31
C14918,Internal,2025-12-12
C14922,TRAI,2025-07-08
C14923,Internal,2025-04-25
C14924,TRAI,2025-10-05
C14942,TRAI,2026-03-12
C14948,Customer Request,2025-10-25
C14953,TRAI,2025-12-18
C14954,TRAI,2025-07-07
C14956,TRAI,2026-01-07
C14966,Customer Request,2025-04-24
C14972,Customer Request,2025-08-20
C14980,Customer Request,2025-07-13
C14982,Customer Request,2026-03-12
C14991,TRAI,2025-06-14
C15010,TRAI,2025-09-04
C15060,TRAI,2025-10-01
C15079,TRAI,2026-03-05
C15081,TRAI,2025-04-28
C15113,TRAI,2025-11-19
C15124,Internal,2025-10-06
C15164,TRAI,2026-01-21
C15166,Customer Request,2025-06-30
C15207,Internal,2025-12-19
C15217,TRAI,2026-02-19
C15257,Internal,2025-10-17
C15261,Customer Request,2025-06-21
C15286,Internal,2025-08-04
C15287,TRAI,2025-09-20
C15305,Customer Request,2025-09-12
C15310,TRAI,2025-12-20
C15326,Customer Request,2026-03-05
C15327,TRAI,2025-11-20
C15337,TRAI,2025-11-26
C15377,TRAI,2025-05-17
C15383,TRAI,2026-01-10
C15387,Internal,2025-04-15
C15402,TRAI,2025-09-03
C15426,Internal,2025-06-14
C15435,TRAI,2025-05-14
C15443,TRAI,2025-04-10
C15450,TRAI,2025-04-14
C15452,TRAI,2026-02-18
C15455,TRAI,2025-08-13
C15472,Customer Request,2025-09-01
C15474,TRAI,2025-06-07
C15492,Internal,2025-07-15
C15506,TRAI,2025-11-29
C15508,TRAI,2025-10-11
C15511,Customer Request,2025-04-10
C15531,TRAI,2025-04-09
C15553,Internal,2025-04-30
C15554,TRAI,2025-08-12
C15571,TRAI,2025-06-26
C15583,TRAI,2025-10-21
C15600,TRAI,2026-01-19
C15604,Customer Request,2025-12-03
C15611,TRAI,2025-10-31
C15625,TRAI,2025-09-12
C15628,Customer Request,2025-10-14
C15634,TRAI,2026-02-22
C15645,Customer Request,2025-11-28
C15656,Customer Request,2025-09-26
C15670,TRAI,2026-03-13
C15682,TRAI,2025-04-05
C15683,TRAI,2026-01-17
C15684,Customer Request,2025-12-28
C15722,TRAI,2025-06-26
C15732,TRAI,2026-01-22
C15733,Internal,2025-04-19
C15736,TRAI,2025-07-24
C15753,Internal,2025-10-30
C15756,Customer Request,2026-02-17
C15761,TRAI,2025-12-15
C15762,TRAI,2025-10-17
C15806,Internal,2025-04-02
C15827,Internal,2025-08-08
C15830,TRAI,2026-01-25
C15834,TRAI,2026-03-10
C15863,TRAI,2025-04-09
C15875,TRAI,2025-09-27
C15877,Internal,2025-08-02
C15883,Internal,2026-01-26
C15889,Internal,2025-09-20
C15893,TRAI,2026-01-15
C15897,Customer Request,2025-08-22
C15905,Customer Request,2025-10-26
C15915,Customer Request,2025-03-26
C15920,Customer Request,2025-08-11
C15923,TRAI,2026-01-16
C15931,TRAI,2026-02-12
C15942,TRAI,2026-01-20
C15947,Customer Request,2025-05-16
C15948,Customer Request,2025-05-27
C15984,Customer Request,2025-12-12
C16001,Customer Request,2025-09-12
C16041,TRAI,2025-03-29
C16049,TRAI,2025-07-10
C16051,Customer Request,2026-01-16
C16063,Customer Request,2025-08-01
C16064,TRAI,2026-02-10
C16068,Internal,2025-04-13
C16082,Internal,2026-03-08
C16088,TRAI,2025-04-06
C16099,Internal,2025-06-22
C16103,TRAI,2025-08-05
C16115,TRAI,2025-07-11
C16128,Internal,2025-04-09
C16133,Customer Request,2025-12-28
C16137,TRAI,2026-03-09
C16141,TRAI,2025-06-29
C16160,Customer Request,2025-07-04
C16165,TRAI,2026-02-04
C16167,Customer Request,2025-10-01
C16168,TRAI,2025-09-26
C16175,Internal,2026-02-17
C16195,TRAI,2025-06-06
C16196,Customer Request,2025-08-20
C16200,TRAI,2026-02-02
C16203,Customer Request,2025-07-30
C16211,Customer Request,2026-01-28
C16228,Customer Request,2025-07-29
C16250,Internal,2026-01-13
C16254,Customer Request,2025-04-14
C16255,TRAI,2026-01-21
C16267,Customer Request,2025-08-15
C16275,TRAI,2025-06-02
C16281,TRAI,2026-01-27
C16300,Internal,2025-06-27
C16316,TRAI,2025-04-13
C16325,Customer Request,2025-09-21
C16326,Internal,2026-02-15
C16331,TRAI,2025-07-25
C16350,Internal,2025-06-01
C16363,Customer Request,2025-04-12
C16364,Internal,2025-07-26
C16393,TRAI,2026-01-24
C16397,TRAI,2026-03-13
C16411,Internal,2025-09-14
C16436,Internal,2025-06-07
C16453,Internal,2026-01-19
C16459,TRAI,2025-12-20
C16473,Customer Request,2026-01-02
C16477,Customer Request,2026-01-19
C16488,Internal,2025-05-06
C16506,TRAI,2025-12-08
C16519,TRAI,2025-08-25
C16526,TRAI,2025-07-23
C16551,TRAI,2025-09-22
C16569,TRAI,2025-08-14
C16575,TRAI,2025-04-24
C16579,TRAI,2025-07-27
C16580,Customer Request,2025-04-11
C16582,TRAI,2025-07-02
C16596,TRAI,2025-06-16
C16609,TRAI,2025-06-04
C16611,Customer Request,2025-05-19
C16621,Customer Request,2025-06-27
C16627,TRAI,2025-03-25
C16634,TRAI,2026-01-08
C16657,TRAI,2025-08-28
C16703,Internal,2025-06-29
C16716,Customer Request,2025-08-12
C16722,TRAI,2025-10-25
C16725,Customer Request,2025-09-20
C16731,Internal,2025-07-26
C16736,TRAI,2026-01-03
C16763,Customer Request,2025-05-10
C16779,Internal,2025-06-07
C16785,Internal,2025-06-04
C16796,TRAI,2025-12-02
C16799,TRAI,2025-04-29
C16815,Internal,2025-03-28
C16819,Internal,2025-04-04
C16862,TRAI,2025-04-16
C16874,TRAI,2025-06-30
C16891,Internal,2026-01-14
C16901,Internal,2025-05-31
C16938,Customer Request,2025-05-20
C16975,Customer Request,2025-04-03
C16998,Internal,2025-08-10
C17029,TRAI,2025-06-20
C17051,TRAI,2026-03-02
C17055,Customer Request,2025-12-30
C17065,TRAI,2025-04-05
C17072,TRAI,2025-12-02
C17078,Internal,2025-12-22
C17085,Internal,2025-03-30
C17089,Internal,2025-12-30
C17146,TRAI,2025-03-26
C17163,Internal,2025-11-30
C17178,TRAI,2025-09-12
C17180,Customer Request,2026-01-21
C17198,TRAI,2025-04-17
C17208,Customer Request,2025-11-13
C17228,Internal,2025-03-25
C17230,TRAI,2025-08-31
C17254,Customer Request,2025-08-13
C17274,Internal,2025-06-05
C17288,TRAI,2026-03-08
C17295,Internal,2025-12-01
C17303,Customer Request,2025-11-19
C17312,Internal,2025-05-17
C17328,TRAI,2025-12-05
C17330,Internal,2025-07-28
C17334,TRAI,2025-03-30
C17353,TRAI,2025-12-09
C17385,TRAI,2025-06-24
C17389,TRAI,2025-09-02
C17401,TRAI,2025-08-07
C17404,Internal,2025-06-03
C17420,Internal,2026-01-07
C17440,TRAI,2025-05-19
C17441,Internal,2026-03-12
C17447,Internal,2025-07-19
C17472,TRAI,2026-02-22
C17495,TRAI,2025-09-30
C17502,TRAI,2025-04-28
C17536,Internal,2025-07-06
C17541,Internal,2026-02-05
C17566,Internal,2025-06-18
C17582,TRAI,2025-12-10
C17585,TRAI,2025-06-29
C17586,TRAI,2025-08-14
C17594,Customer Request,2026-01-26
C17611,Internal,2025-11-21
C17617,TRAI,2025-04-09
C17628,Internal,2025-09-26
C17630,Internal,2025-10-15
C17640,TRAI,2025-05-02
C17642,Customer Request,2025-05-31
C17652,TRAI,2026-01-15
C17719,Internal,2025-07-29
C17723,TRAI,2025-04-20
C17726,TRAI,2026-02-22
C17737,Internal,2025-08-31
C17742,TRAI,2025-08-29
C17754,Internal,2025-06-11
C17758,Internal,2026-03-02
C17760,Internal,2025-06-24
C17773,Customer Request,2025-07-08
C17776,TRAI,2025-10-14
C17784,TRAI,2025-10-01
C17801,TRAI,2026-01-24
C17809,TRAI,2025-06-12
C17813,TRAI,2025-04-28
C17833,TRAI,2025-11-27
C17842,TRAI,2025-03-29
C17882,Customer Request,2026-01-20
C17886,TRAI,2025-06-12
C17890,Customer Request,2025-04-17
C17893,TRAI,2025-03-28
C17921,TRAI,2026-03-02
C17930,Customer Request,2025-09-26
C17943,TRAI,2026-01-29
C17983,TRAI,2026-02-15
C17990,TRAI,2025-11-06
C17994,TRAI,2025-05-24
C18020,TRAI,2025-11-02
C18025,Customer Request,2025-08-28
C18028,Customer Request,2025-04-26
C18062,Customer Request,2025-08-05
C18069,Internal,2026-03-06
C18087,Customer Request,2025-04-04
C18166,TRAI,2025-06-14
C18188,TRAI,2025-04-20
C18209,TRAI,2025-05-19
C18223,TRAI,2026-02-05
C18240,Internal,2025-06-30
C18241,TRAI,2025-10-17
C18248,Internal,2025-05-08
C18256,TRAI,2025-10-21
C18261,Customer Request,2025-08-31
C18264,Customer Request,2025-04-10
C18273,TRAI,2025-07-15
C18286,TRAI,2025-06-14
C18289,TRAI,2026-01-04
C18300,Customer Request,2025-06-08
C18313,Internal,2025-04-24
C18326,TRAI,2025-10-13
C18339,Internal,2026-03-09
C18344,TRAI,2026-01-10
C18353,TRAI,2026-03-12
C18358,Customer Request,2025-06-12
C18386,TRAI,2025-10-09
C18402,TRAI,2025-09-19
C18407,TRAI,2025-08-15
C18415,TRAI,2025-12-22
C18428,TRAI,2025-11-21
C18450,Internal,2025-12-05
C18455,TRAI,2025-12-12
C18458,TRAI,2025-06-06
C18471,Customer Request,2025-04-18
C18505,TRAI,2025-10-17
C18511,TRAI,2025-11-06
C18523,TRAI,2025-12-03
C18536,Customer Request,2025-09-26
C18541,Internal,2026-01-08
C18542,TRAI,2026-01-22
C18552,Internal,2025-05-01
C18591,TRAI,2025-12-05
C18607,Internal,2025-07-09
C18623,Customer Request,2025-09-27
C18640,Internal,2025-03-24
C18646,TRAI,2025-05-29
C18652,Internal,2025-10-04
C18675,Customer Request,2025-12-18
C18700,TRAI,2025-10-05
C18715,TRAI,2025-11-21
C18721,Customer Request,2025-10-24
C18723,Internal,2026-01-05
C18730,Internal,2025-07-12
C18743,Customer Request,2025-07-29
C18772,Internal,2025-10-09
C18787,Customer Request,2025-06-05
C18800,TRAI,2025-12-15
C18801,TRAI,2025-10-22
C18802,TRAI,2025-06-12
C18826,TRAI,2025-10-31
C18836,TRAI,2026-02-04
C18860,TRAI,2025-06-28
C18863,TRAI,2025-05-21
C18890,Customer Request,2025-05-16
C18913,TRAI,2026-02-24
C18917,Internal,2025-06-09
C18930,Customer Request,2025-04-14
C18957,TRAI,2025-09-08
C18974,Customer Request,2025-11-20
C18975,Internal,2026-01-05
C18978,Customer Request,2025-07-01
C18980,TRAI,2025-08-23
C18988,Internal,2025-06-30
C19032,TRAI,2025-04-09
C19043,TRAI,2025-05-04
C19066,TRAI,2025-06-24
C19080,TRAI,2025-07-29
C19091,TRAI,2025-12-13
C19093,TRAI,2025-07-10
C19115,Internal,2026-02-22
C19134,TRAI,2025-07-08
C19144,TRAI,2026-02-10
C19148,Internal,2025-09-06
C19159,TRAI,2026-02-21
C19170,TRAI,2025-06-22
C19205,Internal,2025-08-28
C19227,Customer Request,2025-07-25
C19288,TRAI,2026-02-22
C19289,Internal,2026-01-21
C19296,Internal,2025-10-31
C19303,TRAI,2025-09-03
C19333,Customer Request,2025-09-08
C19335,TRAI,2025-06-23
C19339,Internal,2025-09-03
C19353,TRAI,2025-06-23
C19357,Customer Request,2025-09-15
C19367,Internal,2025-07-08
C19372,Customer Request,2025-05-09
C19393,TRAI,2025-07-01
C19437,TRAI,2025-08-01
C19480,TRAI,2025-11-17
C19490,TRAI,2025-06-24
C19541,Internal,2025-11-26
C19549,TRAI,2025-12-09
C19562,TRAI,2025-09-10
C19581,TRAI,2025-04-10
C19611,TRAI,2025-08-14
C19615,Internal,2026-01-15
C19633,Customer Request,2025-04-03
C19635,Customer Request,2025-07-12
C19644,TRAI,2025-05-16
C19658,TRAI,2025-04-17
C19666,Customer Request,2026-03-03
C19678,TRAI,2026-02-20
C19721,TRAI,2025-05-25
C19731,TRAI,2026-01-05
C19737,TRAI,2025-05-25
C19758,TRAI,2026-02-14
C19764,TRAI,2025-11-02
C19768,TRAI,2025-06-23
C19771,Customer Request,2025-05-12
C19785,TRAI,2025-04-10
C19797,Internal,2026-01-30
C19811,TRAI,2025-07-28
C19820,Customer Request,2025-07-11
C19822,TRAI,2025-11-22
C19835,Customer Request,2025-05-11
C19839,TRAI,2025-05-20
C19866,TRAI,2025-04-29
C19882,Internal,2025-12-19
C19901,Internal,2025-07-25
C19902,TRAI,2025-11-17
C19931,Customer Request,2025-08-29
C19940,TRAI,2026-01-18
C19944,TRAI,2025-12-01
C19954,Customer Request,2025-12-28
C19961,TRAI,2025-12-14
C19981,Customer Request,2025-05-04
C19988,TRAI,2025-06-15
C20010,TRAI,2026-01-26
C20020,Customer Request,2025-04-11
C20024,TRAI,2025-05-10
C20055,TRAI,2025-04-01
C20057,Customer Request,2025-06-20
C20059,Customer Request,2025-09-06
C20061,TRAI,2025-06-16
C20068,Customer Request,2025-11-17
C20070,Customer Request,2025-08-31
C20075,Internal,2025-05-17
C20079,TRAI,2025-08-09
C20087,TRAI,2025-11-04
C20088,Customer Request,2025-11-15
C20091,TRAI,2025-10-20
C20139,Customer Request,2025-11-03
C20141,TRAI,2026-03-12
C20162,TRAI,2025-05-23
C20174,TRAI,2025-06-21
C20188,TRAI,2025-09-03
C20213,TRAI,2025-03-27
C20222,Internal,2025-08-17
C20225,Internal,2026-01-19
C20231,TRAI,2025-08-08
C20250,Internal,2025-11-01
C20279,Customer Request,2025-05-29
C20300,Internal,2025-05-05
C20303,Internal,2025-03-31
C20318,Customer Request,2025-11-30
C20323,Customer Request,2025-06-05
C20339,Customer Request,2025-12-13
C20347,Internal,2025-06-01
C20355,Customer Request,2025-11-05
C20406,Internal,2025-05-23
C20416,Internal,2025-08-23
C20425,TRAI,2025-04-11
C20442,TRAI,2025-11-17
C20448,Customer Request,2025-12-22
C20498,TRAI,2025-11-25
C20500,Customer Request,2025-09-22
C20509,TRAI,2025-12-22
C20525,Customer Request,2025-04-23
C20566,TRAI,2026-01-27
C20612,TRAI,2025-07-16
C20648,Customer Request,2026-01-28
C20679,TRAI,2025-10-31
C20701,TRAI,2025-09-06
C20710,TRAI,2025-05-07
C20714,TRAI,2025-08-30
C20722,Customer Request,2025-05-04
C20735,Internal,2025-05-13
C20755,TRAI,2025-12-15
C20780,Customer Request,2025-08-02
C20801,TRAI,2025-12-01
C20815,Internal,2025-12-05
C20826,TRAI,2025-05-12
C20845,TRAI,2025-05-04
C20846,TRAI,2025-04-03
C20853,TRAI,2025-09-11
C20863,TRAI,2025-04-13
C20877,TRAI,2025-12-24
C20891,TRAI,2025-10-24
C20892,Customer Request,2025-09-15
C20894,Customer Request,2025-08-19
C20901,TRAI,2025-06-22
C20910,TRAI,2026-02-07
C20924,TRAI,2025-06-06
C20960,Internal,2025-06-01
C20993,Internal,2025-09-18
C20994,Internal,2025-11-19
C21000,TRAI,2025-07-25
C21012,Customer Request,2025-05-24
C21014,TRAI,2025-11-01
C21031,TRAI,2025-08-18
C21051,TRAI,2025-06-01
C21052,TRAI,2025-06-30
C21053,Internal,2025-09-21
C21054,TRAI,2025-06-25
C21067,Internal,2025-06-12
C21080,Internal,2025-03-24
C21086,Customer Request,2025-09-02
C21101,Customer Request,2025-11-10
C21105,Internal,2025-07-23
C21110,Customer Request,2025-05-18
C21118,TRAI,2025-07-11
C21133,TRAI,2025-11-02
C21161,TRAI,2025-08-31
C21168,TRAI,2025-04-02
C21177,TRAI,2025-10-04
C21183,Customer Request,2025-09-15
C21185,TRAI,2025-10-31
C21192,TRAI,2025-10-18
C21210,TRAI,2025-08-22
C21234,Internal,2026-02-04
C21269,TRAI,2025-07-14
C21280,Internal,2025-09-14
C21281,TRAI,2025-05-25
C21303,Internal,2025-12-11
C21305,TRAI,2025-07-02
C21329,TRAI,2025-11-14
C21356,TRAI,2025-10-30
C21384,TRAI,2025-11-17
C21385,TRAI,2025-11-07
C21387,Internal,2025-12-25
C21415,TRAI,2026-01-12
C21417,TRAI,2025-04-02
C21424,Customer Request,2025-05-04
C21431,TRAI,2025-06-10
C21434,TRAI,2025-07-11
C21460,Internal,2025-05-01
C21464,Internal,2025-07-05
C21486,Internal,2025-07-06
C21513,TRAI,2025-06-26
C21517,Internal,2025-08-23
C21538,TRAI,2025-05-23
